name,kal
감자 주먹 밥,239.38
고추장불고기 삼각김밥,165.29
곤드레나물밥(정선),521.83
국밥,418.34
국밥 굴,105.13
김밥,317.68
김치 고구마 밥,247.84
김치김밥,344.97
김치볶음밥,754.73
김치쌈밥,205.15
농어초밥,396.74
돼지국밥,911.4
두부 채소 볶음밥,321.41
레몬이 들어간 새우 케밥,215.4
류산슬덮밥,574.99
멍게비빔밥(거제),547.21
멸치주먹밥,312.43
묵밥,642.16
문어초밥,392.23
볶음밥,773.3
불고기덮밥,669.3
비빔밥,706.62
비빔밥(전주),691.62
삼선볶음밥,686.11
새싹 비빔밥,264.53
새우볶음밥,700.02
새우초밥,387.67
새우튀김롤,606.5
샐러드김밥,405.95
생선초밥(광어),453.78
생선초밥,465
생선초밥(모듬),461.97
소고기국밥(밥포함),330.53
소고기김밥,400.61
소머리국밥,631.99
소머리국밥(경기광주),903.95
송이덮밥,581.81
쇠고기 말이 쌈밥,203.71
숯불갈비 삼각김밥,172.4
쌀밥,272
쌈밥,314.55
알밥,618.5
약초비빔밥(산청),511.8
연어롤,510.19
연어초밥,447.32
영양밥,321.41
오곡밥,390
오므라이스,729.97
오징어 덮밥,679.9
유부초밥,446.33
육회비빔밥,679.7
자장밥,741.66
잡채밥,884.66
잡탕밥,777.44
장어덮밥,716.54
장어초밥,486.26
제육덮밥,782.38
짬뽕밥,661.76
참치김밥,424.07
참치덮밥,679.1
참치마요네즈 삼각김밥,161.24
충무김밥,583.93
치즈김밥,510
카레라이스,672.01
캘리포니아롤,487.64
콩나물국밥(전주),429.65
콩나물해장국,223.26
한치초밥,374.18
해물덮밥,771.93
해물볶음밥,705.22
회덮밥,683.02
고등어 강정,154.59
곰보빵,277.34
과일파이,182.06
과자,46.5
꽃게강정,260.51
꽈배기,262.38
녹차스콘,184.59
녹차크레페,178.56
누룽지 과자,344.45
다시마칩,61.13
단호박 경단,162.87
두부샌드위치,190.4
라이스페이퍼 새우 롤,141.26
피자,374.05
마늘빵,296.55
만주,222.49
머핀,560.71
멸치누룽지과자,191.35
모닝빵,231.86
미니 버거,123.41
미니타르트,312.45
바질 고구마 옥수수빵,160.75
버터크림빵,268.28
베이글,335.48
블루베리 치즈무스케익,420.61
사과와 양파를 곁들인 돼지등심 요리,293.83
사과와 크림치즈를 곁들인 토스트,188.25
생크림케이크,278.07
센베이,34.65
수퍼 브리또,253.47
식빵,113.2
아보카도 달걀 샌드위치,152.41
야채빵,135.49
야채칩,72.2
양송이버섯 달걀크레페,349.1
잡곡강정,153.4
잣호두강정,93.71
찹쌀도우넛,207.05
채소 커리를 곁들인 팬케익,253.81
채소 팬케익,285.83
채소고로케,300.65
초콜릿케이크,420.24
치즈케이크,329.14
카스텔라,235.1
커리향이 들어간 치킨 샐러드 샌드위치,193.62
크로와상 샌드위치,137.62
클럽 샌드위치,193.54
티라미수,188.52
페이스트리빵,319.59
피스타치오 생크림과 산딸기 컵케이크,253.64
한과 매작과,123.9
한과 산자,109.8
한과 송화다식,110.7
한과 약과,119.7
한과 유과,127.2
한국식 오코노미야끼,263.87
햄치즈샌드위치,436.52
현미크레이프,259.06
호두과자,30.34
간자장,824.54
고기만두,452.01
고기완자를 곁들인 스웨덴식 국수,148.24
구슬 파스타,299.86
군만두,685.24
굴짬뽕,680.67
기스면,606.93
김치라면,552.32
김치만두,420.53
김치우동,500.18
낙지볶음면,154.36
냉 쌀국수,246.45
냉김치말이국수,302.53
니고랭,228.89
닭고기가 들어간 땅콩소스 스파게티,207.69
들깨칼국수,457.88
떡국,711.3
떡라면,743.16
떡만둣국,624.92
라면,95.67
라면 짬뽕라면,91.93
라비올리 크림소스,768.64
